"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NC_047627.1:122600-127230"	1727.03857874226	0.0817739387023792	0.135595473100285	0.603072778409794	0.5464602746054	0.999937540335271
"NC_047627.1:127350-130220"	1304.88495096226	-0.162899230748937	0.150852592257032	-1.07985702009933	0.280205855043749	0.999937540335271
"NC_047627.1:130560-131370"	359.482568906827	0.129483970439659	0.283236680851161	0.457158197344158	0.647557342335116	0.999937540335271
"NC_047627.1:131430-132140"	291.033416337018	0.0122388462872356	0.338596037726308	0.0361458638719465	0.97116605212133	0.999937540335271
"NC_047627.1:132710-134380"	653.848456802915	-0.228191678099049	0.23002468897289	-0.992031242898206	0.321182284963606	0.999937540335271
"NC_047627.1:136440-141850"	2370.46614676368	-0.0821573740291217	0.137163600324186	-0.598973589457721	0.549190496548928	0.999937540335271
"NC_047627.1:142540-144640"	802.762651955944	0.251411802508804	0.185756326555628	1.35344947421489	0.175912081076659	0.999937540335271
"NC_047627.1:144780-162140"	7918.29072807263	0.00141531489384049	0.0812834482801798	0.0174120921760354	0.986107862456931	0.999937540335271
"NC_047627.1:162650-163880"	371.002304612026	-0.169984633988294	0.321787315279003	-0.528251506250053	0.597324784750137	0.999937540335271
"NC_047627.1:164200-166050"	739.490553299789	0.159427816551851	0.202817797511228	0.786064233554381	0.431829856779468	0.999937540335271
"NC_047627.1:167170-173570"	2542.83670242122	0.0304097044535197	0.114554403425477	0.265460807652869	0.790654498029034	0.999937540335271
"NC_047627.1:173930-175070"	314.41861542302	0.194023268344578	0.338192854177991	0.573705996290696	0.566166769948203	0.999937540335271
"NC_047627.1:177140-180340"	1557.74618688791	0.270271835740074	0.139462621947806	1.93795177492952	0.0526291063987725	0.999937540335271
"NC_047627.1:181080-184160"	1370.28480777855	0.0185266045812391	0.161577217839397	0.114660995089382	0.908713831367975	0.999937540335271
"NC_047627.1:184290-200910"	8588.81026525665	0.00114263673083196	0.0749533521639904	0.0152446381361568	0.987837009709072	0.999937540335271
"NC_047627.1:203270-214110"	4998.9568156393	-0.077195033083119	0.0976452296516319	-0.790566352893297	0.429197087955996	0.999937540335271
"NC_047627.1:214120-214780"	275.571909388253	-1.06929117284029	0.326391759580355	-3.27609733228281	0.00105252281031594	0.147254413462875
"NC_047627.1:214950-217410"	1206.66811227339	-0.457052245521534	0.157731179287749	-2.89766581081431	0.00375950951441876	0.381254823785869
"NC_047627.1:217700-224100"	2463.90432756572	-0.252513438573537	0.134885195087446	-1.87206192947887	0.0611980361915584	0.999937540335271
